Rank,Name Country/Region,Overall,Research Quality,Industry,International Outlook,Research Environment,Teaching
1,University of OxfordUnited Kingdom,98.3,99.4,92.4,95.5,98.7,99.2
2,University of CambridgeUnited Kingdom,97.3,95.6,99.5,96.1,100.0,95.8
3,Massachusetts Institute of TechnologyUnited States,96.2,99.1,100.0,80.6,99.4,93.2
4,ETH ZurichSwitzerland,96.1,99.3,90.8,94.4,99.4,91.3
5,Stanford UniversityUnited States,96.0,99.8,100.0,76.7,98.8,93.5
=6,Carnegie Mellon UniversityUnited States,95.7,99.7,99.3,79.6,96.2,94.5
=6,Princeton UniversityUnited States,95.7,99.6,91.5,78.8,97.6,95.5
=8,Imperial College LondonUnited Kingdom,93.6,95.1,89.7,96.1,95.5,90.7
=8,"University of California, BerkeleyUnited States",93.6,99.9,99.0,78.0,93.8,89.7
10,Harvard UniversityUnited States,93.4,95.9,75.7,81.4,99.1,93.5
11,National University of SingaporeSingaporeExplore,93.3,98.0,99.4,89.7,94.9,86.3
12,Peking UniversityChina,92.4,96.0,99.9,57.6,93.4,94.9
13,Tsinghua UniversityChina,92.3,96.0,100.0,39.5,95.7,97.0
14,Technical University of MunichGermanyExplore,91.2,93.1,100.0,71.5,96.8,86.5
15,California Institute of TechnologyUnited States,90.9,95.4,99.7,62.7,96.4,85.8
16,Cornell UniversityUnited States,90.8,97.9,74.8,76.5,96.0,86.9
17,"University of California, Los AngelesUnited States",90.1,97.3,86.5,80.7,92.9,83.7
18,University of WashingtonUnited States,89.8,98.0,86.9,69.6,93.5,84.1
19,"Nanyang Technological University, SingaporeSingaporeExplore",89.0,96.9,100.0,91.2,89.2,77.3
20,École Polytechnique Fédérale de LausanneSwitzerland,88.8,85.6,98.2,93.3,90.9,86.0
21,University of Illinois at Urbana-ChampaignUnited States,88.2,94.1,86.2,65.5,96.8,80.2
22,Georgia Institute of TechnologyUnited States,87.1,92.9,94.5,77.3,91.5,77.5
23,University of TorontoCanada,86.6,94.3,70.8,85.3,86.8,83.8
24,Yale UniversityUnited States,86.3,91.7,69.8,81.4,87.3,86.0
25,Johns Hopkins UniversityUnited States,85.8,99.5,97.8,82.6,80.3,75.3
26,Columbia UniversityUnited States,85.6,94.1,83.7,84.3,82.5,81.5
27,New York UniversityUnited States,84.7,94.7,98.7,93.2,83.5,69.9
28,The Hong Kong University of Science and TechnologyHong KongExplore,84.6,97.9,100.0,96.8,76.7,72.2
29,University of EdinburghUnited Kingdom,84.1,89.9,91.8,95.2,78.3,79.2
30,The Chinese University of Hong KongHong KongExplore,83.6,99.6,98.9,95.0,72.3,72.1
31,University of Texas at AustinUnited States,83.4,93.0,95.1,47.1,89.2,74.3
32,Zhejiang UniversityChinaExplore,82.4,88.5,100.0,70.1,82.0,75.2
33,Shanghai Jiao Tong UniversityChina,81.9,84.6,100.0,63.1,84.5,76.4
34,UCLUnited Kingdom,81.6,88.0,71.6,96.8,79.4,76.4
35,"University of California, San DiegoUnited States",81.3,94.5,99.9,77.7,78.1,67.3
36,University of PennsylvaniaUnited States,80.8,92.1,78.7,79.1,82.2,69.2
37,The University of TokyoJapan,80.7,60.5,100.0,42.0,92.8,92.7
38,Paris Sciences et Lettres – PSL Research University ParisFrance,80.3,87.6,87.4,83.8,70.5,80.3
39,Korea Advanced Institute of Science and Technology (KAIST)South Korea,80.2,85.4,100.0,42.9,84.9,74.4
40,The University of ChicagoUnited States,79.7,93.3,68.8,73.5,78.7,72.2
41,University of Michigan-Ann ArborUnited States,79.3,90.0,74.6,60.6,84.4,70.0
42,Institut Polytechnique de ParisFrance,77.7,68.2,95.4,93.4,69.8,86.0
43,University of WaterlooCanada,77.6,85.7,84.9,86.1,73.3,69.7
44,KU LeuvenBelgiumExplore,76.4,85.0,100.0,69.2,70.2,69.5
45,Delft University of TechnologyNetherlands,75.6,84.8,99.9,87.1,70.0,62.2
46,Université de MontréalCanadaExplore,74.6,90.9,100.0,88.4,71.3,51.0
47,Purdue University West LafayetteUnited States,74.5,79.5,79.9,77.4,78.0,63.5
48,University of MassachusettsUnited States,74.2,85.8,91.5,78.4,61.8,69.5
49,Seoul National UniversitySouth Korea,74.0,77.5,100.0,34.4,74.6,73.2
50,University of MelbourneAustralia,73.1,82.4,80.4,91.2,64.0,66.5
51,University of British ColumbiaCanada,72.9,87.4,85.0,92.0,66.0,57.2
52,University of Science and Technology of ChinaChinaExplore,72.6,95.7,94.9,38.4,62.5,63.1
53,University of Hong KongHong KongExplore,72.2,98.7,82.2,96.9,58.1,51.4
54,Université Paris-SaclayFrance,71.8,65.2,99.2,73.9,65.4,76.6
55,LMU MunichGermanyExplore,71.7,90.1,99.5,63.1,63.0,57.2
56,"University of Maryland, College ParkUnited States",70.8,93.1,77.4,49.9,68.5,54.8
57,City University of Hong KongHong KongExplore,70.7,92.3,100.0,98.8,51.4,53.4
57,Duke UniversityUnited States,70.5,88.7,100.0,75.2,57.7,56.2
58,Fudan UniversityChina,70.4,90.0,99.0,42.4,55.3,66.1
60,RWTH Aachen UniversityGermany,69.9,78.6,99.9,55.7,69.5,57.0
61,Monash UniversityAustralia,69.8,97.0,84.8,94.6,50.8,51.7
62,"University of California, Santa BarbaraUnited States",69.6,90.2,96.8,80.1,59.4,49.3
63,University of Wisconsin-MadisonUnited States,69.0,87.3,76.9,79.2,63.8,51.4
64,University of Southern CaliforniaUnited States,68.8,91.7,87.6,75.6,58.1,50.0
65,Technical University of BerlinGermany,68.6,82.7,99.7,67.3,64.9,50.0
66,Nanjing UniversityChina,68.3,88.8,98.3,56.7,53.0,58.4
67,Kyoto UniversityJapan,68.2,58.3,95.5,47.1,67.9,76.0
68,University of ManchesterUnited KingdomExplore,67.6,75.2,84.9,95.7,57.8,57.7
=69,KTH Royal Institute of TechnologySwedenExplore,67.5,83.3,86.5,70.7,59.9,53.4
=69,The University of SydneyAustralia,67.5,98.5,74.8,96.7,48.5,46.7
71,Brown UniversityUnited States,67.4,96.3,70.4,72.5,45.1,59.8
72,University of AmsterdamNetherlands,67.1,90.9,81.1,81.0,52.8,50.7
73,Technical University of DarmstadtGermany,66.9,86.3,99.9,62.3,55.6,51.5
74,The Hong Kong Polytechnic UniversityHong KongExplore,66.0,91.9,87.8,97.7,47.2,45.2
75,"University of California, IrvineUnited States",65.9,88.4,77.5,79.4,56.9,46.2
76,McGill UniversityCanadaExplore,65.3,79.2,94.0,87.2,54.1,49.2
77,Sorbonne UniversityFrance,64.4,71.6,72.0,75.8,54.3,62.6
78,Karlsruhe Institute of TechnologyGermany,64.1,72.4,100.0,50.2,62.9,50.8
79,TU WienAustria,64.0,70.6,79.0,76.0,59.2,55.1
80,University of AlbertaCanadaExplore,63.7,80.7,99.8,93.0,54.2,38.5
81,Australian National UniversityAustraliaExplore,63.6,94.1,82.4,94.3,48.2,36.0
82,Eindhoven University of TechnologyNetherlands,63.3,69.3,98.8,84.3,58.9,46.3
83,University of Technology SydneyAustralia,63.2,97.4,99.0,95.8,40.2,34.4
84,UNSW SydneyAustraliaExplore,62.3,91.0,88.9,93.6,44.0,37.2
85,Northwestern UniversityUnited States,61.9,90.1,68.8,71.1,48.9,43.1
=86,Sungkyunkwan University (SKKU)South KoreaExplore,61.5,70.4,99.5,65.0,49.2,53.8
=86,University of TübingenGermany,61.5,94.1,99.0,57.9,45.3,36.6
=88,Aalto UniversityFinland,61.2,87.7,80.5,72.6,44.3,44.0
=88,Politecnico di MilanoItalyExplore,61.2,74.9,98.1,50.8,50.9,50.7
90,Tokyo Institute of TechnologyJapan,60.9,55.0,98.8,51.8,60.4,58.8
91,King’s College LondonUnited Kingdom,60.8,85.1,66.6,96.4,41.1,46.0
