Rank,Name Country/Region
1,University of OxfordUnited Kingdom
2,Massachusetts Institute of TechnologyUnited States
3,Harvard UniversityUnited States
4,Princeton UniversityUnited States
5,University of CambridgeUnited Kingdom
6,Stanford UniversityUnited States
7,California Institute of TechnologyUnited States
8,"University of California, BerkeleyUnited States"
9,Imperial College LondonUnited Kingdom
10,Yale UniversityUnited States
11,ETH ZurichSwitzerland
12,Tsinghua UniversityChina
13,Peking UniversityChina
=14,The University of ChicagoUnited States
=14,University of PennsylvaniaUnited States
16,Johns Hopkins UniversityUnited States
17,National University of SingaporeSingaporeExplore
=18,Columbia UniversityUnited States
=18,"University of California, Los AngelesUnited States"
20,Cornell UniversityUnited States
21,University of TorontoCanada
=22,UCLUnited Kingdom
=22,University of Michigan-Ann ArborUnited States
24,Carnegie Mellon UniversityUnited States
25,University of WashingtonUnited States
26,Technical University of MunichGermanyExplore
27,Duke UniversityUnited States
28,The University of TokyoJapan
29,University of EdinburghUnited Kingdom
30,"Nanyang Technological University, SingaporeSingaporeExplore"
31,Northwestern UniversityUnited States
32,École Polytechnique Fédérale de LausanneSwitzerland
33,New York UniversityUnited States
34,"University of California, San DiegoUnited States"
35,University of Hong KongHong KongExplore
=36,Fudan UniversityChina
=36,King’s College LondonUnited Kingdom
38,LMU MunichGermanyExplore
39,University of MelbourneAustralia
40,Georgia Institute of TechnologyUnited States
41,University of British ColumbiaCanada
42,Paris Sciences et Lettres – PSL Research University ParisFrance
43,KU LeuvenBelgiumExplore
44,The Chinese University of Hong KongHong KongExplore
45,McGill UniversityCanadaExplore
46,University of Illinois at Urbana-ChampaignUnited States
=47,Universität HeidelbergGermanyExplore
=47,Zhejiang UniversityChinaExplore
49,Karolinska InstituteSweden
=50,London School of Economics and Political ScienceUnited Kingdom
=50,University of Texas at AustinUnited States
52,Shanghai Jiao Tong UniversityChina
=53,University of ManchesterUnited KingdomExplore
=53,University of Science and Technology of ChinaChinaExplore
55,Kyoto UniversityJapan
=56,Delft University of TechnologyNetherlands
=56,University of Wisconsin-MadisonUnited States
=58,Brown UniversityUnited States
=58,Monash UniversityAustralia
=58,University of AmsterdamNetherlands
61,The University of SydneyAustralia
=62,Seoul National UniversitySouth Korea
=62,"University of California, DavisUnited States"
64,Université Paris-SaclayFrance
65,Nanjing UniversityChina
66,The Hong Kong University of Science and TechnologyHong KongExplore
=67,"University of California, Santa BarbaraUnited States"
=67,Wageningen University & ResearchNetherlands
69,Washington University in St LouisUnited States
70,University of North Carolina at Chapel HillUnited States
71,Institut Polytechnique de ParisFrance
72,University of Southern CaliforniaUnited States
=73,Australian National UniversityAustraliaExplore
=73,Leiden UniversityNetherlandsExplore
75,Boston UniversityUnited States
76,Sorbonne UniversityFrance
77,The University of QueenslandAustraliaExplore
78,City University of Hong KongHong KongExplore
78,University of BristolUnited KingdomExplore
79,Purdue University West LafayetteUnited States
=80,University of GroningenNetherlands
