THE CS Rank 2025,University Name,Country
1,University of Oxford,United Kingdom
2,University of Cambridge,United Kingdom
3,Massachusetts Institute of Technology,United States
4,ETH Zurich,Switzerland
5,Stanford University,United States
6,Carnegie Mellon University,United States
6,Princeton University,United States
8,Imperial College London,United Kingdom
8,"University of California, Berkeley",United States
10,Harvard University,United States
11,National University of SingaporeSingapore,Explore
12,Peking University,China
13,Tsinghua University,China
14,Technical University of MunichGermany,Explore
15,California Institute of Technology,United States
16,Cornell University,United States
17,"University of California, Los Angeles",United States
18,University of Washington,United States
19,"Nanyang Technological University, SingaporeSingapore",Explore
20,École Polytechnique Fédérale de Lausanne,Switzerland
21,University of Illinois at Urbana-Champaign,United States
22,Georgia Institute of Technology,United States
23,University of Toronto,Canada
24,Yale University,United States
25,Johns Hopkins University,United States
26,Columbia University,United States
27,New York University,United States
28,The Hong Kong University of Science and TechnologyHong Kong,Explore
29,University of Edinburgh,United Kingdom
30,The Chinese University of Hong KongHong Kong,Explore
31,University of Texas at Austin,United States
32,Zhejiang UniversityChina,Explore
33,Shanghai Jiao Tong University,China
34,UCLUnited Kingdom,
35,"University of California, San Diego",United States
36,University of Pennsylvania,United States
37,The University of Tokyo,Japan
38,Paris Sciences et Lettres – PSL Research University Paris,France
39,Korea Advanced Institute of Science and Technology (KAIST)South Korea,
40,The University of Chicago,United States
41,University of Michigan-Ann Arbor,United States
42,Institut Polytechnique de Paris,France
43,University of Waterloo,Canada
44,KU LeuvenBelgium,Explore
45,Delft University of Technology,Netherlands
46,Université de MontréalCanada,Explore
47,Purdue University West Lafayette,United States
48,University of Massachusetts,United States
49,Seoul National University,South Korea
50,University of Melbourne,Australia
51,University of British Columbia,Canada
52,University of Science and Technology of ChinaChina,Explore
53,University of Hong KongHong Kong,Explore
54,Université Paris-Saclay,France
55,LMU MunichGermany,Explore
56,"University of Maryland, College Park",United States
57,City University of Hong KongHong Kong,Explore
57,Duke University,United States
58,Fudan University,China
60,RWTH Aachen University,Germany
61,Monash University,Australia
62,"University of California, Santa Barbara",United States
63,University of Wisconsin-Madison,United States
64,University of Southern California,United States
65,Technical University of Berlin,Germany
66,Nanjing University,China
67,Kyoto University,Japan
68,University of ManchesterUnited Kingdom,Explore
69,KTH Royal Institute of TechnologySweden,Explore
69,The University of Sydney,Australia
71,Brown University,United States
72,University of Amsterdam,Netherlands
73,Technical University of Darmstadt,Germany
74,The Hong Kong Polytechnic UniversityHong Kong,Explore
75,"University of California, Irvine",United States
76,McGill UniversityCanada,Explore
77,Sorbonne University,France
78,Karlsruhe Institute of Technology,Germany
79,TU Wien,Austria
80,University of AlbertaCanada,Explore
81,Australian National UniversityAustralia,Explore
82,Eindhoven University of Technology,Netherlands
83,University of Technology Sydney,Australia
84,UNSW SydneyAustralia,Explore
85,Northwestern University,United States
86,Sungkyunkwan University (SKKU)South Korea,Explore
86,University of Tübingen,Germany
88,Aalto University,Finland
88,Politecnico di MilanoItaly,Explore
90,Tokyo Institute of Technology,Japan
91,King’s College London,United Kingdom
92,University of AdelaideAustralia,Explore
93,Michigan State University,United States
94,University of BolognaItaly,Explore
95,University of Bonn,Germany
96,Indian Institute of Science,India
96,Korea UniversitySouth Korea,Explore
97,Yonsei University (Seoul campus)South Korea,
98,Aarhus University,Denmark
98,Harbin Institute of Technology,China
100,"Northeastern University, USUnited States",
101,Bauman Moscow State Technical University,Russian Federation
101,Boston University,United States
101,National Taiwan University (NTU)Taiwan,
101,Penn State (Main campus)United States,
101,Qatar University,Qatar
101,Rice University,United States
101,Sapienza University of Rome,Italy
101,Stony Brook University,United States
101,Technical University of Denmark,Denmark
101,Technion Israel Institute of Technology,Israel
101,Tel Aviv University,Israel
101,Texas A&M University,United States
101,The University of QueenslandAustralia,Explore
101,Tohoku University,Japan
101,Universität HeidelbergGermany,Explore
101,University College Dublin,Ireland
101,University of BristolUnited Kingdom,Explore
101,"University of California, Davis",United States
101,University of Electronic Science and Technology of China,China
101,University of Freiburg,Germany
101,University of North Carolina at Chapel Hill,United States
101,University of Warwick,United Kingdom
101,Virginia Polytechnic Institute and State UniversityUnited States,Explore
101,Wuhan University,China
126,Beihang University,China
126,Chalmers University of Technology,Sweden
126,Huazhong University of Science and TechnologyChina,Explore
126,King Fahd University of Petroleum and MineralsSaudi Arabia,Explore
126,Kyung Hee UniversitySouth Korea,Explore
126,Lebanese American University,Lebanon
126,Linköping University,Sweden
126,Macquarie University,Australia
126,Pohang University of Science and Technology (POSTECH)South Korea,
126,Queen Mary University of London,United Kingdom
126,Ruhr University Bochum,Germany
126,Simon Fraser UniversityCanada,Explore
126,"University of California, Riverside",United States
126,University of Copenhagen,Denmark
126,University of Erlangen-NurembergGermany,Explore
126,University of Groningen,Netherlands
126,University of Illinois Chicago,United States
126,University of MacauMacao,Explore
126,University of Notre Dame,United States
126,University of Oslo,Norway
126,University of OuluFinland,Explore
126,University of Rochester,United States
126,University of Stuttgart,Germany
126,University of Surrey,United Kingdom
126,University of Vienna,Austria
126,University of Virginia (Main campus)United States,
151,Deakin University,Australia
151,Free University of Berlin,Germany
151,Hong Kong Baptist University,Hong Kong
151,Lomonosov Moscow State University,Russian Federation
151,Macau University of Science and TechnologyMacao,Explore
151,North Carolina State University,United States
151,Ohio State University (Main campus)United States,
151,The University of Osaka,Japan
151,Prince Mohammad Bin Fahd UniversitySaudi Arabia,Explore
151,Radboud University NijmegenNetherlands,Explore
151,Sharif University of Technology,Iran
151,Swinburne University of TechnologyAustralia,Explore
151,TU Dresden,Germany
151,University at Buffalo,United States
151,University of Auckland,New Zealand
151,University of Colorado Boulder,United States
151,University of Florida,United States
151,University of GlasgowUnited Kingdom,Explore
151,University of Luxembourg,Luxembourg
151,University of Sheffield,United Kingdom
151,University of Southampton,United Kingdom
151,University of Twente,Netherlands
151,University of Würzburg,Germany
151,Vrije Universiteit Amsterdam,Netherlands
176,Aalborg University,Denmark
176,Arizona State University (Tempe)United States,Explore
176,Beijing Institute of TechnologyChina,Explore
176,Graz University of Technology,Austria
176,Johannes Kepler University of Linz,Austria
176,Khalifa UniversityUnited Arab Emirates,Explore
176,King Saud University,Saudi Arabia
176,Northwestern Polytechnical UniversityChina,Explore
176,Norwegian University of Science and Technology,Norway
176,Queensland University of TechnologyAustralia,Explore
176,Rutgers University–New Brunswick,United States
176,Sejong University,South Korea
176,Southern University of Science and Technology (SUSTech)China,
176,Stevens Institute of Technology,United States
176,Sun Yat-sen University,China
176,Tianjin University,China
176,Trinity College Dublin,Ireland
176,Université Grenoble Alpes,France
176,University of Birmingham,United Kingdom
176,University of Helsinki,Finland
176,University of LiverpoolUnited Kingdom,Explore
176,University of Mannheim,Germany
176,University of Trento,Italy
176,University of Warsaw,Poland
176,Vanderbilt University,United States
201,Al Ain University,United Arab Emirates
201,"Asia University, Taiwan",Taiwan
201,Brunel University of London,United Kingdom
201,Cardiff UniversityUnited Kingdom,Explore
201,Case Western Reserve University,United States
201,École Normale Supérieure de Lyon,France
201,Griffith University,Australia
201,Humboldt University of Berlin,Germany
201,Indiana University,United States
201,Iowa State University,United States
201,King Abdulaziz UniversitySaudi Arabia,Explore
201,Lancaster University,United Kingdom
201,Loughborough University,United Kingdom
201,Louisiana State University,United States
201,Moscow Institute of Physics and Technology (MIPT)Russian Federation,
201,Nagoya University,Japan
201,National Tsing Hua University,Taiwan
201,National Yang Ming Chiao Tung University (NYCU)Taiwan,
201,Newcastle UniversityUnited Kingdom,Explore
201,Paderborn University,Germany
201,RMIT University,Australia
201,Sant’Anna School of Advanced Studies – PisaItaly,Explore
201,Shenzhen University,China
201,Swansea University,United Kingdom
201,Tongji University,China
201,Université Catholique de Louvain,Belgium
201,Université du Québec,Canada
201,Universiti Sains Malaysia,Malaysia
201,Universiti Teknologi Petronas,Malaysia
201,University of Basel,Switzerland
201,"University of California, Santa Cruz",United States
201,University of Central Florida,United States
201,University of Essex,United Kingdom
201,University of Klagenfurt,Austria
201,University of Leeds,United Kingdom
201,University of Leicester,United Kingdom
201,University of Malaya,Malaysia
201,University of Minnesota,United States
201,University of Nottingham,United Kingdom
201,University of Ottawa,Canada
201,University of Padua,Italy
201,University of SharjahUnited Arab Emirates,Explore
201,University of South AustraliaAustralia,Explore
201,University of Tehran,Iran
201,University of Victoria,Canada
201,University of York,United Kingdom
201,Washington University in St Louis,United States
201,Xiamen University,China
201,Xi’an Jiaotong University,China
201,Xidian University,China
201,York UniversityCanada,Explore
251,American University of the Middle EastKuwait,Explore
251,Amirkabir University of Technology,Iran
251,Cairo University,Egypt
251,Concordia University,Canada
251,Dalian University of Technology,China
251,Dartmouth College,United States
251,Florida Atlantic University,United States
251,George Washington University,United States
251,Hanyang UniversitySouth Korea,Explore
251,Hebrew University of Jerusalem,Israel
251,Hunan University,China
251,Istanbul Technical University,Turkey
251,King Khalid University,Saudi Arabia
251,La Trobe University,Australia
251,Lehigh University,United States
251,Leibniz University Hannover,Germany
251,Lund University,Sweden
251,McMaster UniversityCanada,Explore
251,Middle East Technical University,Turkey
251,Nankai University,China
251,Near East University,Northern Cyprus
251,New Jersey Institute of Technology,United States
251,Rensselaer Polytechnic Institute,United States
251,Southeast University,China
251,SUNY Binghamton University,United States
251,Tampere University,Finland
251,Temple University,United States
251,The University of Texas at San Antonio,United States
251,The University of Western Australia,Australia
251,TU Dortmund University,Germany
251,Ulm University,Germany
251,Ulsan National Institute of Science and Technology (UNIST)South Korea,Explore
251,Università della Svizzera italiana,Switzerland
251,Université Paris CitéFrance,Explore
251,University of Bern,Switzerland
251,University of Bradford,United Kingdom
251,University of Delaware,United States
251,University of Galway,Ireland
251,University of Geneva,Switzerland
251,University of Granada,Spain
251,University of Kaiserslautern,Germany
251,University of Konstanz,Germany
251,University of NewcastleAustralia,Explore
251,University of Pisa,Italy
251,University of Pittsburgh-Pittsburgh campus,United States
251,University of Potsdam,Germany
251,University of Wollongong,Australia
251,Uppsala University,Sweden
251,Waseda UniversityJapan,Explore
251,Western UniversityCanada,Explore
251,Yeungnam University,South Korea
301,Abu Dhabi UniversityUnited Arab Emirates,Explore
301,Ajman University,United Arab Emirates
301,"Amity University, Noida",India
301,Aston University,United Kingdom
301,Aswan University,Egypt
301,Bar-Ilan University,Israel
301,Beijing Normal University,China
301,Carleton University,Canada
301,Charles Darwin University,Australia
301,Chung-Ang UniversitySouth Korea,Explore
301,"City, University of London",United Kingdom
301,Curtin UniversityAustralia,Explore
301,De Montfort University,United Kingdom
301,Dublin City University,Ireland
301,Durham University,United Kingdom
301,East China Normal University,China
301,Florida International University,United States
301,Free University of Bozen-BolzanoItaly,Explore
301,George Mason University,United States
301,Gwangju Institute of Science and Technology (GIST)South Korea,
301,Heriot-Watt University,United Kingdom
301,Illinois Institute of Technology,United States
301,IMT Atlantique,France
301,Iran University of Science and Technology,Iran
301,ITMO University,Russian Federation
301,Jamia Millia Islamia,India
301,Keio University,Japan
301,Kyungpook National University (KNU)South Korea,Explore
301,Kyushu University,Japan
301,LUT UniversityFinland,Explore
301,Memorial University of NewfoundlandCanada,Explore
301,Mississippi State University,United States
301,Missouri University of Science and Technology,United States
301,National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,
301,National University of Sciences and Technology,Pakistan
301,Northumbria University,United Kingdom
301,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,
301,Prince Sultan University (PSU)Saudi Arabia,Explore
301,Qassim UniversitySaudi Arabia,Explore
301,Queen’s UniversityCanada,Explore
301,Queen’s University BelfastUnited Kingdom,Explore
301,"Royal Holloway, University of London",United Kingdom
301,Sichuan University,China
301,South China University of Technology,China
301,Symbiosis International UniversityIndia,Explore
301,The University of JordanJordan,Explore
301,Toronto Metropolitan UniversityCanada,Explore
301,TU Braunschweig,Germany
301,United Arab Emirates UniversityUnited Arab Emirates,Explore
301,Universitat Politècnica de Catalunya,Spain
301,Université Laval,Canada
301,Université Libre de Bruxelles,Belgium
301,Universiti Kebangsaan Malaysia,Malaysia
301,Universiti Teknologi Malaysia,Malaysia
301,University of Aberdeen,United Kingdom
301,University of Antwerp,Belgium
301,University of Bath,United Kingdom
301,University of Bremen,Germany
301,University of Calgary,Canada
301,University of Campinas,Brazil
301,University of Córdoba,Spain
301,University of Crete,Greece
301,University of Duisburg-Essen,Germany
301,"University of Engineering and Technology, Taxila",Pakistan
301,University of Exeter,United Kingdom
301,University of Georgia (USA)United States,
301,University of Göttingen,Germany
301,University of Guelph,Canada
301,University of Innsbruck,Austria
301,University of Iowa,United States
301,University of Jaén,Spain
301,University of Kentucky,United States
301,University of Liège,Belgium
301,"University of Maryland, Baltimore County",United States
301,University of Naples Federico IIItaly,
301,University of Nebraska-Lincoln,United States
301,University of New Brunswick UNBCanada,
301,University of Oregon,United States
301,University of Porto,Portugal
301,University of Reading,United Kingdom
301,University of Salford,United Kingdom
301,University of São Paulo,Brazil
301,University of SaskatchewanCanada,Explore
301,University of Southern Queensland,Australia
301,University of St Gallen,Switzerland
301,University of Strathclyde,United Kingdom
301,University of TartuEstonia,Explore
301,University of Texas at Arlington,United States
301,University of Utah,United States
301,University of Windsor,Canada
301,UPESIndia,
301,Victoria University,Australia
301,Victoria University of Wellington,New Zealand
301,Vrije Universiteit Brussel,Belgium
301,Washington State University,United States
301,Wayne State University,United States
301,William & Mary,United States
301,Worcester Polytechnic Institute,United States
301,Zayed University,United Arab Emirates
401,Al-Ahliyya Amman UniversityJordan,Explore
401,Al-Balqa Applied University,Jordan
401,Aligarh Muslim University,India
401,Aristotle University of Thessaloniki,Greece
401,Ben-Gurion University of the Negev,Israel
401,Benha University,Egypt
401,Boğaziçi University,Turkey
401,Carlos III University of MadridSpain,Explore
401,Centrale Nantes,France
401,Charles University,Czechia
401,Chongqing University,China
401,Chulalongkorn UniversityThailand,Explore
401,COMSATS University Islamabad,Pakistan
401,Daegu Gyeongbuk Institute of Science and Technology (DGIST)South Korea,
401,Dalhousie UniversityCanada,Explore
401,École Nationale des Ponts et Chaussées - Institut Polytechnique de Paris,France
401,Edinburgh Napier University,United Kingdom
401,Edith Cowan UniversityAustralia,Explore
401,Federation University Australia,Australia
401,Flinders University,Australia
401,Friedrich Schiller University JenaGermany,Explore
401,Hasselt University,Belgium
401,Imam Abdulrahman Bin Faisal University,Saudi Arabia
401,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia
401,Indian Institute of Technology Indore,India
401,"International Institute of Information Technology, Hyderabad",India
401,Isfahan University of Technology,Iran
401,Jahangirnagar University,Bangladesh
401,Jeju National University,South Korea
401,KIIT UniversityIndia,Explore
401,King Faisal University,Saudi Arabia
401,Liverpool John Moores University,United Kingdom
401,Maastricht UniversityNetherlands,Explore
401,Majmaah University,Saudi Arabia
401,Manchester Metropolitan University,United Kingdom
401,Mansoura University,Egypt
401,Murdoch University,Australia
401,Nanjing University of Aeronautics and Astronautics,China
401,Nanjing University of Information Science and Technology,China
401,National Taiwan Normal UniversityTaiwan,Explore
401,"Northeastern University, China",China
401,Nottingham Trent University,United Kingdom
401,Oklahoma State University,United States
401,Old Dominion University,United States
401,Peter the Great St Petersburg Polytechnic University,Russian Federation
401,Polytechnic University of ValenciaSpain,Explore
401,Prince Sattam Bin Abdulaziz University,Saudi Arabia
401,Princess Nourah bint Abdulrahman University,Saudi Arabia
401,Pusan National University,South Korea
401,Sabancı University,Turkey
401,Shanghai University,China
401,Stockholm University,Sweden
401,Sunway University,Malaysia
401,SUNY University at Albany,United States
401,Syracuse University,United States
401,Taif University,Saudi Arabia
401,Tecnológico de MonterreyMexico,Explore
401,Texas Tech University,United States
401,Thapar Institute of Engineering and Technology,India
401,The University of Aizu,Japan
401,Tilburg UniversityNetherlands,Explore
401,Ton Duc Thang University,Vietnam
401,Tufts University,United States
401,Université Côte d'AzurFrance,Explore
401,University of Arizona,United States
401,University of Arkansas,United States
401,University of Bayreuth,Germany
401,University of BordeauxFrance,Explore
401,University of Cagliari,Italy
401,University of Calabria,Italy
401,University of Eastern Finland,Finland
401,University of Florence,Italy
401,University of Genoa,Italy
401,University of Hamburg,Germany
401,University of Houston,United States
401,University of Johannesburg,South Africa
401,University of Kent,United Kingdom
401,University of Lincoln,United Kingdom
401,University of Lisbon,Portugal
401,University of Messina,Italy
401,University of Milan-Bicocca,Italy
401,University of Modena and Reggio Emilia,Italy
401,University of Münster,Germany
401,University of North Carolina at Charlotte,United States
401,University of Otago,New Zealand
401,University of Passau,Germany
401,University of Plymouth,United Kingdom
401,University of Portsmouth,United Kingdom
