Name,No,Negara,QS Rank 2026,CWUR Rank 2025,THE Rank 2025,THE CS Rank 2025
University of Oxford,1,Inggris,4.0,5.0,1.0,1.0
Harvard University,2,Amerika Serikat,5.0,1.0,3.0,10.0
Stanford University,3,Amerika Serikat,3.0,3.0,6.0,5.0
Massachusetts Institute of Technology (MIT),4,Amerika Serikat,1.0,2.0,2.0,
University of Cambridge,5,Inggris,6.0,4.0,5.0,2.0
California Institute of Technology (Caltech),6,Amerika Serikat,10.0,11.0,7.0,
University of Chicago,7,Amerika Serikat,13.0,10.0,14.0,
Yale University,8,Amerika Serikat,21.0,9.0,10.0,24.0
Princeton University,9,Amerika Serikat,25.0,6.0,4.0,6.0
Imperial College London,10,Inggris,2.0,28.0,9.0,8.0
University of Pennsylvania,11,Amerika Serikat,15.0,7.0,14.0,36.0
Columbia University,12,Amerika Serikat,38.0,8.0,18.0,26.0
ETH Zurich - Swiss Federal Institute of Technology,13,Swiss,,,,
UCL (University College London),14,Inggris,9.0,,,
"University of California, Berkeley (UCB)",15,Amerika Serikat,17.0,12.0,8.0,
Johns Hopkins University,16,Amerika Serikat,24.0,18.0,16.0,25.0
Tsinghua University,17,Tiongkok,17.0,37.0,12.0,13.0
Cornell University,18,Amerika Serikat,16.0,14.0,20.0,16.0
University of Toronto,19,Kanada,29.0,23.0,21.0,23.0
Peking University,20,Tiongkok,14.0,44.0,13.0,12.0
University of Michigan-Ann Arbor,21,Amerika Serikat,45.0,,22.0,41.0
The University of Edinburgh,22,Inggris,,,,
"University of California, Los Angeles (UCLA)",23,Amerika Serikat,46.0,17.0,18.0,
National University of Singapore (NUS),24,Singapura,8.0,80.0,,
The University of Tokyo,25,Jepang,36.0,,28.0,37.0
Northwestern University,26,Amerika Serikat,42.0,15.0,31.0,85.0
New York University (NYU),27,Amerika Serikat,55.0,25.0,33.0,
The University of Melbourne,28,Australia,19.0,,,
"University of California, San Diego (UCSD)",29,Amerika Serikat,66.0,33.0,34.0,
Duke University,30,Amerika Serikat,62.0,21.0,27.0,57.0
King's College London,31,Inggris,31.0,42.0,,
The University of Manchester,32,Inggris,35.0,,,
"Nanyang Technological University, Singapore (NTU)",33,Singapura,12.0,,30.0,
EPFL (Ecole Polytechnique Fédérale de Lausanne),34,Swiss,,,,
Université PSL (Paris Sciences & Lettres),35,Perancis,,,,
University of British Columbia,36,Kanada,40.0,48.0,41.0,51.0
McGill University,37,Kanada,27.0,27.0,,
The University of Hong Kong,38,Hong Kong,11.0,,,
